#phenotype data for axiom8
#ncol 42
#nrow 501
"SampleID","Number","White","Black","Star","StarWithoutWhite","Lived","MinDeltaTemp","LogMinDeltaTemp","Zombie","DeltaTempDay5","DeltaTempDay6","Day0Weight","MinPercWeight","MinDeltaWeight","Gainer","MinRBC","LogMinRBC","MaxPD","DectectableMaxPD","MaxParasitemia","DetectableMaxParasitemia","UndetectedParasitemia","MaxdTemp","MaxdWeight","MaxdRBC","MaxBystanderEffect","MinBystanderEffect","MaxRBCLysis","MaxBurstSize","MinBurstSize","Description","ParasitemiaClusters","ParasitemiaClustersn","ParasitemiaClustersn1","ParasitemiaClustersn2","ParasitemiaClustersn3","ParasitemiaCluster1","ParasitemiaCluster2","ParasitemiaCluster3","Died","Recrudescence"
"Schneider_A01",1,0,0,0,0,1,-2,1.09861228866811,1,1.4,-0.300000000000004,25.5,-14.1176470588235,-3.6,0,1.201,0.183154543097847,0.755088336984,0.755088336984,0.166340509,0.166340509,0,1.7,1,3.7745,"77900671.4336138","-11046712.4420759","77900670.4336138",0.50252446179,-0.4765511546635,"DO","2","2",0,1,0,0,1,0,0,0
"Schneider_A02",2,0,0,0,0,1,-1.5,0.916290731874155,1,0.100000000000001,0.300000000000004,18.6,-12.9032258064516,-2.4,0,1.847,0.613562701217103,0.97576016896,0.97576016896,0.283146067,0.283146067,0,1.9,1.1,1.678,"9897561.02634913","-1045708.85624763","9897560.6678526",0.541604391382,-0.386029597596,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A03",3,0,0,0,0,1,-3.5,1.50407739677627,1,-0.600000000000001,-0.5,31.5,-22.5396825396825,-7.1,0,1.7515,0.560472563655404,1.420891441539,1.420891441539,0.294363257,0.294363257,0,1.5,0.300000000000001,2.289,"50433971.4339204","-1004298.94221994","50433970.8708184",0.642937186013,-1.137897992461,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A04",4,1,0,0,NA,1,-3.4,1.48160454092422,1,-1.2,-1.2,23.3,-6.86695278969958,-1.6,0,2.225,0.799756915618204,0.9040969760175,0.9040969760175,0.245700246,0.245700246,0,3.6,0.899999999999999,1.875,"447147.460348061","-1260708.08342726","447146.99619715",0.47535175488,-0.611330287156,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A05",5,0,0,0,0,1,-3.8,1.56861591791385,1,-0.200000000000003,-0.399999999999999,22.2,-18.018018018018,-4,0,0.855,-0.156653810045377,0.883834025404,0.883834025404,0.407407407,0.407407407,0,1,0.800000000000001,0.9435,"9411056.38873021","-1244326.70249483","9411055.95523624",0.767825253799,-0.4504282725945,"DO","2","2",0,1,0,0,1,0,0,0
"Schneider_A06",6,0,1,0,0,1,-4.8,1.75785791755237,1,-1.4,0.300000000000004,25.8,-14.3410852713178,-3.7,0,1.111,0.105260510657493,1.127416863594,1.127416863594,0.319915254,0.319915254,0,3.7,1.4,1.037,"9525936.59282734","-1320840.26636116","9525938.09211801",0.911836974356,-0.429534569905,"DO","1","1",1,0,0,1,0,0,0,1
"Schneider_A07",7,0,0,0,0,0,-9.7,2.37024374146786,0,-0.300000000000004,0.299999999999997,20.8,-21.6346153846154,-4.5,0,0.9455,-0.0560413908836249,1.223473492956,1.223473492956,0.417558887,0.417558887,0,1.7,0.100000000000001,0.219,"2258329.49106875","-1185165.81418029","2258328.91689602",0.8283923390325,-0.533748339427,"DO","3","3",0,0,1,0,0,1,1,0
"Schneider_A08",8,0,1,0,0,1,-3.3,1.45861502269952,1,-0.700000000000003,-2.2,30,-6.66666666666667,-2,0,2.052,0.718814927308523,1.4526608752825,1.4526608752825,0.279707495,0.279707495,0,2.3,0.5,2.0225,"793860.248979846","-1359323.67638484","793859.647623294",0.8793924893955,-0.718119890784,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A09",9,1,0,0,NA,1,-6,1.94591014905531,1,0.600000000000001,1.1,31,-19.6774193548387,-6.1,0,0.7775,-0.251671634928748,1.151450627526,1.151450627526,0.35483871,0.35483871,0,4.7,0.600000000000001,1.507,"93916803.6401409","-1470753.27837739","93916804.009624",0.6639636983135,-0.695014243865,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A10",10,0,0,0,0,1,-2,1.09861228866811,1,-2,-1.6,25,-7.59999999999999,-1.9,0,1.006,0.00598207167754747,1.041210171837,1.041210171837,0.287128713,0.287128713,0,1.4,1.1,1.7425,"30434618.2436449","-1204422.77152533","30434619.0275496",0.547754676087,-0.647843835027,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A11",11,0,0,0,0,1,-2.2,1.16315080980568,1,-0.100000000000001,-0.200000000000003,24.4,-10.2459016393443,-2.5,0,1.671,0.513422249613257,0.772471875,0.772471875,0.208747515,0.208747515,0,2.2,0.800000000000001,1.5045,"7925596.42756811","-30132093.9852106","7925595.60760656",0.398682759435,-0.530267152068,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A12",12,0,0,0,0,1,-1.9,1.06471073699243,1,0.100000000000001,-0.899999999999999,26.5,-6.03773584905661,-1.6,0,1.485,0.395414772254663,1.0731164812605,1.0731164812605,0.266055046,0.266055046,0,1.3,0.699999999999999,3.01,"61070686.4196664","-1530900.28111819","61070686.1288288",0.9338994812605,-0.467618287808,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A13",13,0,0,0,0,1,-1.4,0.875468737353899,1,0.299999999999997,0.399999999999999,20.9,-14.8325358851675,-3.1,0,1.8175,0.597461930425537,0.734703388613,0.734703388613,0.296610169,0.296610169,0,1.2,1,1.694,"55957001.7823094","-2904352.26387226","55957001.2445245",0.2892208552785,-0.394481714148,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A14",14,0,1,0,0,1,-2.4,1.22377543162212,1,-0.899999999999999,-0.200000000000003,28.9,-10.0346020761246,-2.9,0,1.5225,0.420353720601915,0.7695672183045,0.7695672183045,0.252358491,0.252358491,0,1.5,0.800000000000001,1.481,"753695.35897895","-1293983.41109923","753694.581280788",0.2863237030505,-0.4650672183045,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A15",15,0,0,0,0,1,-2,1.09861228866811,1,-0.300000000000004,-1.2,25.4,-17.7165354330709,-4.5,0,2.579,0.947401726899208,1.082848621275,1.082848621275,0.199494949,0.199494949,0,1.2,0.300000000000001,1.436,"9147572.17958907","-1286565.3002526","9147571.17958907",0.582170653471,-0.3755392795955,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A16",16,0,0,0,0,1,-2.5,1.25276296849537,1,-0.600000000000001,-1.9,23.3,-9.01287553648069,-2.1,0,0.75,-0.287682072451781,1.01075373972425,1.01075373972425,0.374677003,0.374677003,0,1.3,1.1,2.1145,"5264069.53377774","-1177018.0471004","5264073.05524862",0.4662673135795,-0.63325454241,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A17",17,0,0,0,0,0,-2.6,1.28093384546206,1,-0.600000000000001,-2.2,19.4,-5.15463917525773,-1,0,0.86225,-0.148210027165187,0.508595237475,0.508595237475,0.457013575,0.457013575,0,-0.400000000000006,-0.0999999999999979,-0.177499999999999,"-7963492.44680981","-1633912.04681811","-7963492.33450105",0.457242858667,-0.11453528243125,"DO","3","3",0,0,1,0,0,1,1,0
"Schneider_A18",18,1,0,0,NA,1,-1.8,1.02961941718116,1,-1.2,-0.599999999999994,27.4,-10.5839416058394,-2.9,0,1.324,0.280657457514817,1.297784736897,1.297784736897,0.286637931,0.286637931,0,1.6,0.600000000000001,2.4135,"468550605.817415","-1178891.67189453","468550606.818678",0.782403331842,-0.628198530081,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A19",19,0,0,0,0,1,-1.6,0.955511445027437,1,-0.899999999999999,-0.799999999999997,23.1,-6.92640692640693,-1.6,0,2.9215,1.07209718301235,1.133320653675,1.133320653675,0.273550725,0.273550725,0,1.3,0.5,1.5745,"61752318.4665977","-1077805.71198706","61752318.1042433",0.4789886397565,-0.532294976614,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A20",20,0,0,0,0,1,-1.6,0.955511445027437,1,-1,-0.600000000000001,31.3,-13.7380191693291,-4.3,0,1.8295,0.604042705477124,1.4209644964545,1.4209644964545,0.297650131,0.297650131,0,2.5,0.800000000000001,2.3645,"387036225.526422","-1677501.35625851","387036224.526422",0.818134947578,-0.66805849009,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A21",21,0,0,0,0,0,-2.8,1.33500106673234,1,-1.9,-0.799999999999997,28.7,-9.75609756097561,-2.8,0,0.6825,-0.381992751923022,1.125818180208,1.125818180208,0.466666667,0.466666667,0,1.6,0.400000000000002,0.174,"508446.578684719","-1046940.27683641","508448.868460466",0.783600878148,-0.581297073177,"DO","3","3",0,0,1,0,0,1,1,0
"Schneider_A22",22,0,0,0,0,1,-5.5,1.87180217690159,1,-0.700000000000003,-0.300000000000004,23.1,-11.6883116883117,-2.7,0,0.9225,-0.0806679030674548,1.1444537822565,1.1444537822565,0.377398721,0.377398721,0,1.7,1.8,1.3125,"60707974.2345306","-1289090.75843418","60707974.4414709",0.7282520629545,-0.5879374353515,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A23",23,1,0,0,NA,1,-5,1.79175946922806,1,2,1.7,24.2,-13.2231404958678,-3.2,0,0.9195,-0.0839252349377613,1.122377144064,1.122377144064,0.277922078,0.277922078,0,4.5,0.600000000000001,1.537,"957919.89122256","-1618781.30947242","957918.928481072",0.6403217748245,-0.657830390687,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A24",24,0,0,0,0,0,-6.59999999999999,2.02814824729228,0,-0.899999999999999,-0.699999999999996,28,-6.78571428571428,-1.9,0,2.2325,0.803122033768517,1.057924376677,1.057924376677,0.342915811,0.342915811,0,2.4,0.300000000000001,1.1135,"4417775.68308424","-1830071.77159508","4417778.36685199",0.676443030874,-0.1786656174005,"DO","3","3",0,0,1,0,0,1,1,0
"Schneider_A25",25,0,0,0,0,1,-2.2,1.16315080980568,1,-0.300000000000004,0.699999999999996,17,-1.17647058823529,-0.199999999999999,0,1.005,0.00498754151103897,0.9317429919385,0.9317429919385,0.345794393,0.345794393,0,1.3,1.2,3.735,"4078829.25721131","-10126030.5210217","4078828.40401668",0.401144676924,-0.4503029919385,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A26",26,0,0,0,0,1,-2,1.09861228866811,1,0.299999999999997,0,23.9,-4.76987447698744,-1.14,0,2.305,0.835080676448612,1.4254234868095,1.4254234868095,0.274611399,0.274611399,0,3.59999999999999,0.48,0.624,"546257.446248672","-1421839.61329903","546256.683335202",0.83904336577,-0.5988848667485,"DO","1","2",0,1,0,1,0,0,0,0
"Schneider_A27",27,0,0,0,0,0,-12.3,2.58776403522771,0,-1.3,-0.200000000000003,23.1,-26.5800865800866,-6.14,0,0.7725,-0.258123270210237,1.884294406414,1.884294406414,0.547945205,0.547945205,0,1.7,0.5,0.8895,"131593.305324061","-1705943.22732645","131593.367301421",1.1513083756335,-0.7966458694295,"DO","3","3",0,0,1,0,0,1,1,0
"Schneider_A28",28,0,0,0,0,1,-0.900000000000006,0.641853886172398,1,-0.400000000000006,-0.200000000000003,45.9,-9.80392156862745,-4.5,0,2.3215,0.842213528477839,1.095243184621,1.095243184621,0.210268949,0.210268949,0,0.799999999999997,0.480000000000004,0.675,"3793907.63804477","-1590497.60024785","3793907.78024472",0.432564300033,-0.361825090509,"DO","1","2",0,1,0,1,0,0,0,0
"Schneider_A29",29,0,0,0,0,1,-2.2,1.16315080980568,1,0.600000000000001,0,27.2,-12.6470588235294,-3.44,0,2.434,0.889535994565335,0.980610821323,0.980610821323,0.271186441,0.271186441,0,1.2,1.13,1.075,"76785710.4814149","-104515.478705566","76785711.444643",0.366728467461,-0.332347567811,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A30",30,0,0,0,0,1,-4.9,1.77495235091167,1,-0.699999999999996,-0.5,22.6,-12.2566371681416,-2.77,0,0.9705,-0.0299438763730721,1.200364328472,1.200364328472,0.34025974,0.34025974,0,3.7,1.6,0.93,"7426447.295583","-1544195.86050125","7426446.92357912",0.521012475632,-0.504533160172,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A31",31,0,0,0,0,1,-2.90000000000001,1.3609765531356,1,-0.900000000000006,-0.5,23.8,-10.3781512605042,-2.47,0,1.1425,0.133218843786223,1.34998330434,1.34998330434,0.342175066,0.342175066,0,1.90000000000001,1.18,1.582,"9235230.49091013","-1038403.44035495","9235229.67849152",0.596780534025,-0.414496536844,"DO","1","2",0,1,0,1,0,0,0,0
"Schneider_A32",32,1,0,0,NA,1,-6.1,1.96009478404727,1,-1.8,-0.399999999999999,29.7,-15.2525252525252,-4.53,0,2.296,0.83116847845732,1.380475204955,1.380475204955,0.289256198,0.289256198,0,2.8,0.300000000000001,1.579,"51853922.696256","-1065140.33770456","51853921.696256",0.758691909816,-0.861295251201,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A33",33,0,0,0,0,1,-4.1,1.62924053973028,1,0.600000000000001,-0.299999999999997,22.4,-10.6696428571428,-2.39,0,1.2075,0.188552106544591,0.846287550801,0.846287550801,0.311953353,0.311953353,0,2.7,0.890000000000001,1.8635,"4451807.44007748","-1400209.9673545","4451806.94476563",0.44067216578,-0.383591768892,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A34",34,0,0,0,0,1,-2.1,1.1314021114911,1,2,1.6,25.1,-8.44621513944223,-2.12,0,1.7605,0.56559785961297,0.872279527067,0.872279527067,0.257847534,0.257847534,0,2,1.61,1.168,"8615746.06091044","-1800390.02429875","8615745.76797607",0.3997268950155,-0.533883988561,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A35",35,0,1,0,0,1,-3.1,1.41098697371026,1,1.2,1.6,32.7,-6.94189602446484,-2.27,0,1.641,0.495305812107954,0.8435636538105,0.8435636538105,0.248780488,0.248780488,0,3.2,2.01,0.972,"5485415.19144385","-1191058.0607601","5485414.49653938",0.4820522403695,-0.402958914355,"DO","1","1",1,0,0,1,0,0,0,0
"Schneider_A36",36,0,0,0,0,0,-4.4,1.68639895357023,1,-1.7,0.200000000000003,20.3,-9.01477832512316,-1.83,0,2.038,0.711968934800533,0.92303240875,0.92303240875,0.328244275,0.328244275,0,1.90000000000001,0.709999999999997,0.1015,"2076409.05318788","-1955527.53847926","2076414.02656889",0.456069958066,-0.2540705763,"DO","2","2",0,1,0,0,1,0,1,0
"Schneider_A37",37,0,0,0,0,1,-0.699999999999996,0.530628251062168,1,-0.600000000000001,-0.600000000000001,25.2,-11.3095238095238,-2.85,0,5.091,1.6274742749202,0.02644581068,0.02644581068,0.00408998,0.00408998,0,0.899999999999999,0.120000000000001,0.9485,"20094937.1341087","-10843114.0680852","20094936.7571237",0.020428031447,-0.02644581068,"DO","2","2",0,1,0,0,1,0,0,0
"Schneider_A38",38,0,0,0,0,1,0,0,1,1.2,1.40000000000001,26.5,-9.09433962264151,-2.41,0,2.5545,0.937856509788716,0.981179300217,0.981179300217,0.217557252,0.217557252,0,1.2,1.32,0.856,"2666190.90025323","-1174740.15723667","2666190.10163166",0.5014352558715,-0.425490333468,"DO","1","1",1,0,0,1,0,0,0,0
